
Frequency	# of Samples Observed In
71592aa306e7fc0533b48ae8cd4247e9	118	1
6fcb007851027ce3ccc16d5328d41133	118	1
3102d1e7c0c7ae782d352c7b54caea77	118	1
d834b60b8a5729b3e246efd456b49c75	117	1
3c31f2a518d9251c938b8f1536919c24	117	1
5575518e71ebf0a3010bab78dc4dcb9a	117	1
e11c7892fd9639242e0d090e5d03643a	116	1
dfdb587f2dc81fea1e925bc6351f5ee9	116	1
3ad2907bfed1ffa6de3fd2e73361076f	116	1
cffd1c66d5a0a98eef26b124f51a7016	115	1
473b8f423ff190fc05aa5016a69629af	115	1
e97f1f6aa1d8cf3310ce1ea3709d3d93	114	1
253017d9b5b0fc934060d6a4406d5b2c	114	1
ff298d41dc70eb212b5afef01a9b4808	114	1
84f7aeca4df9e7864fa1d8e7d067de71	114	3
3ff0c77383b0393e47608ddafcf41024	112	1
6c2fa6a2a9df954594c9025de361453a	112	1
bfd99237136039e7fb527a4d4d675f15	112	1
7d66c92a2565a6a980333f863b0045e5	111	1
fbdd19547237b50bb749c060db0c6431	111	1
d64ba6aad255a5ebd86876c5bce3d6d2	111	1
cfe3adf7060ed14a1d59efc5ed49a236	110	1
0171ae4f3c1275f9ebfb3ee808956791	110	1
7a27599fc368de185d68e57c38d1c892	110	2
2a257e60ee361d34c9cb8a32a0facbd5	110	1
ec355a1cd9f7076c41a99c7c735fd6c3	110	1
b1c6969d6100ef8c6d42c7591a8fa664	109	1
0d3b345aedfbf2375971ae28be6285d2	109	1
c2d495c0b72d40c0751457d174362569	109	1
042e0d5817ca3d74b4707bd86405e238	109	2
6fd051211475c16a912c2952a2877f47	108	1
83b75fe8389d74a4d63f2e8e36ffb2b0	108	1
d134d182618418e8a0c2e2d01c9e9f02	108	1
0d1f411dfc2c608d680c126ed21ed2df	108	1
c44f8147c9201e3c04ac69c682cd0e9b	107	1
4354e785b02f6c8ac3a75495c764c13d	107	3
9e0c8a748de3cf503eadd26e977197d7	107	1
542432cc337e7b3a0add9839ecf38653	107	1
e3a875908ded5062a8ab310019c5c62d	106	1
3d87b16ef0b9a953a97ac70e1c274b11	105	1
c59189e796d75aadde13c7bc75f68722	105	1
155264380cab787ef3076407e0a676b4	105	1
06ae1ceb346455864b9e200ebc95f7cd	105	1
ed4f2c5bb2c1aeb578ac7ec6380183fe	105	1
91a86ad20e70275e92b7ada47ae4579f	105	1
1e2bc25ae2c2bb1302c83cc26a0b0276	104	1
1ff346f5a555547f223ef0faa90a4905	104	1
a5cbb19b129a2c931ed59e0282c9c4a6	103	1
8268a6066f6e27f376291f2097b7323a	102	1
9864cedbac2bb6746a1c2b9be015ba8a	102	1
d1f460b0ae4c3bd3ee85bfb06e4b3446	102	1
f169ce55c549a283abab6ca1132f2375	101	2
3160b1582fd58636200de79ccb1c039b	100	1
238742aaa890711cd4f8fb7c58b5a3b7	100	1
9dc92ac13a2451aa6ab3c48e2129e2cf	100	1
159929d3f43ae87ecd9a63219d0da0e4	99	1
a2ee117e0f1f1554cadb872d6f91d3a6	99	1
d4f1dadef04a2ac82689648f3f29971d	99	1
19a79bc8d09a384a42774bfdb083a9e2	99	1
616785a9f4703daee4a4ebcddef25701	99	1
6cfcfcb2f7f3292399de9cce5c350785	98	1
fd81cd6c1f1568133807e0159f3ada71	98	4
bb78cd32f73f25e02a9568e5c8fe12aa	98	1
9311da22017c192a1b8a91f67dad1f3a	97	1
a1ca52b5bf97ce03c2c4783d99a7e8cb	97	2
94ca652432fded497a4b0e9ea5ced8d3	96	1
a4432079745be099da9cf15ad252c222	96	1
c529bf0a5c2b0caae636fc0317f39d8f	96	1
46f41e565a2b05477c33a986538fc727	95	1
3ee01ceb87e8c65f87b4e625a19cf2c8	95	1
c160f669ec61afba1d1c3c733736e71f	95	1
638dc8a909ab89afa7a844ed157c7b48	95	1
95a57c8d95250aaaff489670373137ee	94	1
c7667d1a546acfa6563855632f4e6c34	94	1
2ae5f9684c9dd9b16a6f04ee82290358	93	1
f452493f2798a95758be1054c04c34a3	93	1
326e28ce3a0fd8d4df7cf30f525238dc	91	1
d6e25d0129c84548ad32f007d998e2b6	91	1
41bd3fc20fa9d3f71b878a0263523438	91	1
